type,loc,sqm,lvl,nbed,nbath,year,price
Κτίριο,Κέντρο,1000,0,14,8,1930,790000
Διαμέρισμα,Ταμπούρια,95,7,2,1,2005,185000
Διαμέρισμα,Φρεαττύδα,60,3,2,1,2019,176000
Μεζονέτα,Φρεαττύδα,80,5,2,1,2021,240000
Μεζονέτα,Χατζηκυριάκειο,151,6,3,2,2009,500000
Διαμέρισμα,Καστέλα,88,1,2,1,1981,210000
Διαμέρισμα,Κεντρικός Λιμένας,116,4,3,1,2021,310000
Διαμέρισμα,Φρεαττύδα,117,6,3,2,2021,386100
Διαμέρισμα,Νέο Φάληρο,80,3,2,1,2022,227000
Διαμέρισμα,Καλλίπολη,70,1,2,1,1970,110000
Διαμέρισμα,Κεντρικός Λιμένας,100,8,3,2,1970,400000
Διαμέρισμα,Φρεαττύδα,85,5,2,1,2002,225000
Διαμέρισμα,Καμίνια,100,5,3,1,2022,218000
Μονοκατοικία,Πειραϊκή,342,0,3,3,2000,1050000
Μονοκατοικία,Μανιάτικα,190,0,5,3,2006,300000
Διαμέρισμα,Ζωοδόχος Πηγή,90,5,2,1,2006,134000
Διαμέρισμα,Ταμπούρια,45,1,1,1,2021,105000
Διαμέρισμα,Φρεαττύδα,60,1,2,1,2019,164000
Διαμέρισμα,Πειραϊκή,90,4,2,1,2010,470000
Μονοκατοικία,Τερψιθέα,158,0,4,2,1965,235000
Κτίριο,Ταμπούρια,198,0,2,1,1968,165000
Διαμέρισμα,Αγία Σοφία,50,5,2,1,2009,125000
Διαμέρισμα,Πειραϊκή,120,1,3,1,2009,300000
Διαμέρισμα,Μικρολίμανο,140,0,2,1,1948,350000
Μεζονέτα,Χατζηκυριάκειο,145,4,3,1,2010,360000
Διαμέρισμα,Κεντρικός Λιμένας,116,6,3,1,2021,330000
Διαμέρισμα,Καλλίπολη,63,1,1,1,1977,170000
Διαμέρισμα,Καμίνια,56,7,1,1,2022,143000
Διαμέρισμα,Κέντρο,61,1,2,1,2015,164000
Διαμέρισμα,Κεντρικός Λιμένας,130,1,1,1,1981,95000
Διαμέρισμα,Ζωοδόχος Πηγή,66,8,2,1,2010,104000
Διαμέρισμα,Κέντρο,72,1,2,1,1971,133000
Διαμέρισμα,Φρεαττύδα,112,Υπερυψωμένο,2,1,1975,110000
Κτίριο,Ταμπούρια,1000,0,10,5,1980,770000
Μεζονέτα,Χατζηκυριάκειο,80,6,2,1,2006,240000
Διαμέρισμα,Νέο Φάληρο,100,5,2,1,1992,250000
Κτίριο,Μανιάτικα,386,Υπόγειο,6,3,2001,600000
Μεζονέτα,Ευαγγελίστρια,170,2,2,2,1980,130000
Διαμέρισμα,Πασαλιμάνι,50,Ημιώροφ,1,1,1972,80000
Διαμέρισμα,Τερψιθέα,91,1,2,1,1971,140000
Διαμέρισμα,Μανιάτικα,83,5,2,1,2022,250000
Διαμέρισμα,Κέντρο,74,6,1,1,1968,130000
Διαμέρισμα,Καμίνια,100,7,3,1,2022,255000
Διαμέρισμα,Κέντρο,65,1,1,1,1970,100000
Διαμέρισμα,Φρεαττύδα,60,5,2,1,2019,184000
Διαμέρισμα,Καμίνια,85,8,2,1,2022,217000
Διαμέρισμα,Καμίνια,46,2,1,1,1973,58000
Διαμέρισμα,Καλλίπολη,67,1,1,1,1981,80000
Μεζονέτα,Καλλίπολη,140,4,3,2,2010,360000
Διαμέρισμα,Τερψιθέα,82,1,2,1,1970,220000
Κτίριο,Κέντρο,700,0,2,2,2005,1050000
Διαμέρισμα,Κεντρικός Λιμένας,68,2,2,1,2021,180000
Διαμέρισμα,Νέο Φάληρο,120,5,3,1,1980,250000
Μεζονέτα,Κεντρικός Λιμένας,91,5,2,1,1977,182000
Διαμέρισμα,Ταμπούρια,89,4,2,1,2021,225000
Κτίριο,Πειραϊκή,340,0,7,5,1998,800000
Διαμέρισμα,Μανιάτικα,80,2,2,1,1978,90000
Διαμέρισμα,Καλλίπολη,75,3,2,1,2020,220000
Μεζονέτα,Ταμπούρια,130,4,3,1,2021,330000
Διαμέρισμα,Υδραίικα,65,3,2,1,1970,77000
Μονοκατοικία,Ευαγγελίστρια,260,0,2,1,1930,600000
Μεζονέτα,Πειραϊκή,113,5,2,1,2004,360000
Διαμέρισμα,Ζωοδόχος Πηγή,168,1,3,1,1970,165000
Μονοκατοικία,Μανιάτικα,133,0,3,2,1950,180000
Διαμέρισμα,Ευαγγελίστρια,120,1,3,1,1978,150000
Κτίριο,Πλατεία Ιπποδαμείας,530,0,12,14,1976,530000
Διαμέρισμα,Νέο Φάληρο,85,4,2,1,2022,247000
Διαμέρισμα,Νέο Φάληρο,85,1,2,1,2022,220000
Διαμέρισμα,Μανιάτικα,88,Ημιώροφ,2,1,1956,135000
Διαμέρισμα,Φρεαττύδα,113,3,3,1,2020,305100
Διαμέρισμα,Φρεαττύδα,62,Ημιώροφ,2,1,1998,120000
Διαμέρισμα,Νέο Φάληρο,79,1,2,1,2010,225000
Διαμέρισμα,Φρεαττύδα,137,2,3,1,1970,250000
Διαμέρισμα,Καστέλα,90,1,2,1,1970,165000
Διαμέρισμα,Πασαλιμάνι,90,3,2,1,1973,250000
Διαμέρισμα,Φρεαττύδα,52,1,1,1,1980,80000
Διαμέρισμα,Νέο Φάληρο,98,0,3,1,1989,105000
Διαμέρισμα,Κέντρο,87,5,2,1,1982,160000
Διαμέρισμα,Ευαγγελίστρια,81,3,2,1,1980,125000
Διαμέρισμα,Ζωοδόχος Πηγή,77,4,2,1,2008,135000
Μονοκατοικία,Πασαλιμάνι,205,0,4,1,1920,500000
Διαμέρισμα,Άγιος Βασίλειος,83,1,2,1,2022,250000
Διαμέρισμα,Κέντρο,90,3,2,1,1978,150000
Διαμέρισμα,Μανιάτικα,82,1,2,2,2007,125000
Κτίριο,Κοκκινιά,330,0,5,5,1972,579000
Διαμέρισμα,Χατζηκυριάκειο,120,1,3,1,2011,350000
Διαμέρισμα,Μανιάτικα,75,1,2,1,2005,124000
Διαμέρισμα,Ευαγγελίστρια,152,5,3,2,1973,370000
Διαμέρισμα,Πασαλιμάνι,102,1,2,1,1978,195000
Διαμέρισμα,Φρεαττύδα,39,6,1,1,1984,85000
Διαμέρισμα,Κεντρικός Λιμένας,70,4,2,1,1975,99000
Διαμέρισμα,Νέο Φάληρο,80,4,2,1,2022,233000
Μεζονέτα,Πειραϊκή,188,7,4,2,2014,880000
Διαμέρισμα,Μανιάτικα,97,1,3,1,2022,225000
Διαμέρισμα,Μανιάτικα,97,2,3,1,2022,235000
Διαμέρισμα,Μανιάτικα,97,3,3,1,2022,245000
Διαμέρισμα,Άγιος Βασίλειος,49,Ημιώροφ,1,1,1970,102000
Διαμέρισμα,Ταμπούρια,55,1,1,1,2021,120000
Διαμέρισμα,Ταμπούρια,67,2,1,1,1977,75000
Κτίριο,Καμίνια,500,0,1,4,1965,1000000
Διαμέρισμα,Νέο Φάληρο,67,1,2,1,1969,130000
Διαμέρισμα,Καστέλα,48,2,1,1,1965,58000
Διαμέρισμα,Καστέλα,95,2,2,1,1984,220000
Κτίριο,Κέντρο,335,0,7,4,1940,350000
Διαμέρισμα,Φρεαττύδα,62,5,2,1,1970,135000
Διαμέρισμα,Ζωοδόχος Πηγή,95,3,2,1,1977,70000
Διαμέρισμα,Μανιάτικα,52,1,1,1,1979,90000
Διαμέρισμα,Πασαλιμάνι,72,Ημιώροφ,2,1,1972,90000
Διαμέρισμα,Μανιάτικα,95,4,3,1,2010,260000
Διαμέρισμα,Φρεαττύδα,75,2,2,1,1978,148000
Διαμέρισμα,Πασαλιμάνι,98,1,2,1,1972,160000
Διαμέρισμα,Καμίνια,59,4,1,1,2012,93000
Διαμέρισμα,Πλατεία Ιπποδαμείας,72,2,2,1,1962,120000
Διαμέρισμα,Ταμπούρια,55,2,1,1,2021,125000
Μεζονέτα,Φρεαττύδα,144,6,4,1,2007,340000
Διαμέρισμα,Φρεαττύδα,50,3,1,1,1966,90000
Διαμέρισμα,Τερψιθέα,62,1,1,1,1970,170000
Διαμέρισμα,Κέντρο,85,5,2,1,1970,140000
Κτίριο,Αγία Σοφία,1000,0,9999,9999,2011,850000
Μονοκατοικία,Καστέλα,280,0,4,3,2004,1300000
Διαμέρισμα,Καστέλα,49,-0.5,1,1,1970,42000
Διαμέρισμα,Κεντρικός Λιμένας,60,1,1,1,2013,115000
Κτίριο,Ευαγγελίστρια,266,1,4,1,1967,360000
Διαμέρισμα,Νέο Φάληρο,80,2,2,1,2001,300000
Διαμέρισμα,Μανιάτικα,80,5,2,1,2012,185000
Διαμέρισμα,Μανιάτικα,92,2,2,1,1978,130000
Διαμέρισμα,Μανιάτικα,80,5,2,1,2010,180000
Διαμέρισμα,Ευαγγελίστρια,86,3,2,1,2001,185000
Διαμέρισμα,Κεντρικός Λιμένας,68,1,2,1,2021,170000
Κτίριο,Καστέλα,272,0,6,3,1976,360000
Διαμέρισμα,Καμίνια,83,4,2,1,2022,170000
Διαμέρισμα,Καμίνια,100,4,3,1,2022,212000
Διαμέρισμα,Καμίνια,100,6,3,1,2022,225000
Διαμέρισμα,Φρεαττύδα,96,1,3,1,2012,210000
Μεζονέτα,Πειραϊκή,117,6,3,1,2021,350000
Διαμέρισμα,Καλλίπολη,80,4,2,1,2020,350000
Διαμέρισμα,Νέο Φάληρο,55,0,1,1,1973,72000
Διαμέρισμα,Πασαλιμάνι,71,1,2,1,1970,170000
Διαμέρισμα,Ευαγγελίστρια,47,7,1,1,2007,129000
Μονοκατοικία,Μανιάτικα,61,0,2,1,1965,180000
Διαμέρισμα,Κέντρο,115,3,2,1,1975,120000
Διαμέρισμα,Χατζηκυριάκειο,120,4,3,2,2009,275000
Διαμέρισμα,Μανιάτικα,55,4,1,1,2008,110000
Διαμέρισμα,Πλατεία Ιπποδαμείας,94,3,2,1,1974,168000
Διαμέρισμα,Κεντρικός Λιμένας,170,7,4,1,1971,240000
Μεζονέτα,Βρυώνη,142,6,3,1,2010,500000
Κτίριο,Κεντρικός Λιμένας,563,0,14,5,2006,891000
Διαμέρισμα,Ευαγγελίστρια,81,2,2,1,2008,150000
Διαμέρισμα,Καστέλα,84,0,2,1,1964,250000
Διαμέρισμα,Καστέλα,54,1,1,1,1972,80000
Μεζονέτα,Καστέλα,196,2,3,2,1960,1100000
Μονοκατοικία,Ευαγγελίστρια,237,0,5,3,1950,300000
Διαμέρισμα,Φρεαττύδα,450,0,4,2,1985,800000
Διαμέρισμα,Ταμπούρια,122,6,3,1,2011,345000
Διαμέρισμα,Καστέλα,39,4,1,1,1971,65000
Διαμέρισμα,Νέο Φάληρο,127,3,3,1,1976,240000
Διαμέρισμα,Ευαγγελίστρια,76,6,1,1,1978,130000
Διαμέρισμα,Καλλίπολη,85,4,2,1,2020,235000
Διαμέρισμα,Μανιάτικα,74,1,2,1,1974,80000
Διαμέρισμα,Καστέλα,74,5,2,1,1969,145000
Διαμέρισμα,Μανιάτικα,97,4,3,1,2022,255000
Διαμέρισμα,Νέο Φάληρο,75,2,3,2,1970,160000
Διαμέρισμα,Ταμπούρια,65,1,2,1,2011,110000
Διαμέρισμα,ΟΣΕ,92,1,2,2,2005,230000
Διαμέρισμα,Πασαλιμάνι,72,1,1,1,1964,200000
Διαμέρισμα,Πειραϊκή,126,4,3,2,2017,400000
Διαμέρισμα,Καλλίπολη,80,4,2,1,2006,155000
Διαμέρισμα,Βρυώνη,50,1,1,1,1974,70000
Μονοκατοικία,Καστέλα,218,0,2,3,2001,580000
Διαμέρισμα,Νέο Φάληρο,62,1,1,1,2009,95000
Κτίριο,Κεντρικός Λιμένας,160,0,10,5,1970,750000
Κτίριο,Ευαγγελίστρια,870,Υπόγειο,17,17,1982,1200000
Διαμέρισμα,Καλλίπολη,72,2,2,1,1986,145000
Διαμέρισμα,Καλλίπολη,75,0,1,1,1960,85000
Διαμέρισμα,Τερψιθέα,117,5,3,1,1991,350000
Διαμέρισμα,Φρεαττύδα,127,6,3,2,1970,190000
Διαμέρισμα,Κοκκινιά,57,4,1,1,2008,125000
Κτίριο,Μανιάτικα,254,0,4,2,2006,350000
Διαμέρισμα,Νέο Φάληρο,67,1,2,1,1972,85000
Κτίριο,Καμίνια,260,0,6,4,1970,450000
Διαμέρισμα,Χατζηκυριάκειο,215,2,4,1,1985,500000
Διαμέρισμα,Νέο Φάληρο,100,3,2,1,1974,180000
Διαμέρισμα,Άγιος Βασίλειος,110,5,3,1,1971,260000
Μεζονέτα,Νέο Φάληρο,226,5,3,2,1980,370000
Διαμέρισμα,Ευαγγελίστρια,75,2,2,1,1975,160000
Διαμέρισμα,Μανιάτικα,72,3,2,1,2012,150000
Διαμέρισμα,Καστέλα,144,0,4,2,1955,120000
Διαμέρισμα,Καλλίπολη,85,1,2,1,2020,235000
