type,loc,sqm,lvl,nbed,nbath,year,price
Μεζονέτα,Βρυώνη,132,2,3,2,2010,350000
Διαμέρισμα,Καλλίπολη,72,2,2,1,1986,145000
Διαμέρισμα,Νέο Φάληρο,147,4,2,1,1979,250000
Διαμέρισμα,Μανιάτικα,40,2,1,1,2010,95000
Διαμέρισμα,Χατζηκυριάκειο,120,1,3,1,2011,350000
Διαμέρισμα,Τερψιθέα,91,1,2,1,1971,150000
Διαμέρισμα,Νέο Φάληρο,76,Υπερυψωμένο,1,1,2001,130000
Διαμέρισμα,Ταμπούρια,65,1,2,1,2011,110000
Διαμέρισμα,Αγία Σοφία,75,1,2,1,2002,150000
Διαμέρισμα,Καλλίπολη,85,1,2,1,2020,235000
Διαμέρισμα,Ευαγγελίστρια,50,4,1,1,2007,128000
Διαμέρισμα,Ευαγγελίστρια,51,1,1,1,2007,110000
Διαμέρισμα,Φρεαττύδα,195,3,3,2,2016,1150000
Διαμέρισμα,Φρεαττύδα,450,0,4,2,1985,800000
Διαμέρισμα,Ταμπούρια,122,6,3,1,2011,345000
Διαμέρισμα,Μανιάτικα,90,4,3,1,2021,240000
Διαμέρισμα,Καλλίπολη,72,4,2,1,1981,110000
Κτίριο,Καμίνια,260,0,6,4,1970,450000
Διαμέρισμα,Φρεαττύδα,98,3,2,1,1975,250000
Διαμέρισμα,Νέο Φάληρο,116,1,3,1,2021,280000
Κτίριο,Ευαγγελίστρια,440,0,10,10,2019,780000
Διαμέρισμα,Καλλίπολη,98,1,3,1,1975,125000
Διαμέρισμα,Κεντρικός Λιμένας,170,7,4,1,1971,240000
Διαμέρισμα,Τερψιθέα,92,5,2,2,1963,200000
Διαμέρισμα,Τερψιθέα,82,1,2,1,1970,220000
Διαμέρισμα,Τερψιθέα,157,4,3,2,1973,245000
Μεζονέτα,Χατζηκυριάκειο,151,6,3,1,2011,420000
Μονοκατοικία,Μικρολίμανο,120,0,3,1,1900,460000
Διαμέρισμα,Κέντρο,48,4,1,1,1970,100000
Διαμέρισμα,Καλλίπολη,71,3,2,1,1980,140000
Κτίριο,Καμίνια,500,0,1,4,1965,1000000
Μεζονέτα,Μανιάτικα,190,Υπερυψωμένο,3,3,2006,300000
Διαμέρισμα,Νέο Φάληρο,120,5,3,1,1997,280000
Διαμέρισμα,Φρεαττύδα,91,4,2,1,1979,165000
Διαμέρισμα,Ευαγγελίστρια,152,5,3,2,1973,370000
Διαμέρισμα,Τερψιθέα,90,3,2,1,1980,160000
Διαμέρισμα,Φρεαττύδα,100,8,3,1,2020,400000
Διαμέρισμα,Ευαγγελίστρια,77,2,2,1,2019,255000
Διαμέρισμα,Νέο Φάληρο,80,2,2,1,2001,300000
Διαμέρισμα,Κέντρο,130,1,1,1,1962,160000
Διαμέρισμα,Μανιάτικα,77,3,2,1,2006,160000
Μεζονέτα,Ταμπούρια,130,4,3,1,2021,330000
Μεζονέτα,Χατζηκυριάκειο,151,6,3,2,2009,500000
Διαμέρισμα,Πασαλιμάνι,85,5,2,1,1970,235000
Διαμέρισμα,Κέντρο,115,3,2,1,1975,120000
Διαμέρισμα,Καλλίπολη,75,1,2,1,2020,200000
Κτίριο,Ταμπούρια,470,0,1,1,2013,320000
Διαμέρισμα,Ευαγγελίστρια,51,5,1,1,2004,136000
Διαμέρισμα,Νέο Φάληρο,105,3,3,1,2009,205000
Διαμέρισμα,Άγιος Βασίλειος,85,4,2,1,2001,180000
Διαμέρισμα,Πλατεία Ιπποδαμείας,95,1,3,1,2000,120000
Διαμέρισμα,Χατζηκυριάκειο,60,0,2,1,2010,95000
Μονοκατοικία,Καμίνια,448,0,5,2,2005,480000
Μεζονέτα,Καμίνια,150,5,4,2,2006,350000
Μονοκατοικία,Ευαγγελίστρια,237,0,5,3,1950,300000
Διαμέρισμα,Φρεαττύδα,52,2,1,1,1975,75000
Διαμέρισμα,Μανιάτικα,80,1,2,1,2006,110000
Μεζονέτα,Μανιάτικα,220,4,3,2,2010,420000
Διαμέρισμα,Χατζηκυριάκειο,100,1,2,1,1973,130000
Διαμέρισμα,Χατζηκυριάκειο,77,4,2,1,2021,350000
Διαμέρισμα,Φρεαττύδα,54,2,1,1,1980,150000
Διαμέρισμα,Πειραϊκή,90,3,2,1,2010,470000
Διαμέρισμα,Αγία Σοφία,40,1,1,1,1966,35000
Μεζονέτα,Πλατεία Ιπποδαμείας,100,5,3,2,2007,300000
Διαμέρισμα,Κέντρο,102,2,2,1,1961,115000
Διαμέρισμα,Καλλίπολη,77,4,2,1,2006,190000
Διαμέρισμα,Καστέλα,83,0,2,1,1963,135000
Διαμέρισμα,Πλατεία Ιπποδαμείας,79,1,2,1,2008,186000
Διαμέρισμα,Ταμπούρια,66,5,1,1,2011,158000
Διαμέρισμα,Φρεαττύδα,70,4,2,1,2018,205000
Διαμέρισμα,Ταμπούρια,90,4,2,1,2011,207000
Διαμέρισμα,Βρυώνη,95,4,3,1,1975,260000
Διαμέρισμα,Ευαγγελίστρια,56,6,1,1,1980,95000
Μεζονέτα,Φρεαττύδα,145,5,4,3,2000,340000
Διαμέρισμα,Άγιος Βασίλειος,84,4,2,1,1975,327000
Διαμέρισμα,Κεντρικός Λιμένας,108,6,3,2,2010,185000
Διαμέρισμα,Ταμπούρια,86,2,3,1,2010,180000
Διαμέρισμα,Καστέλα,170,0,3,1,1925,190000
Διαμέρισμα,Πειραϊκή,123,0,2,1,1960,85000
Διαμέρισμα,Φρεαττύδα,61,2,2,1,2013,170000
Διαμέρισμα,Ταμπούρια,56,2,1,1,1978,60000
Διαμέρισμα,Ευαγγελίστρια,27,7,1,1,2007,75000
Διαμέρισμα,Ευαγγελίστρια,47,7,1,1,2007,129000
